特征,类别,LASSO_CV系数,LASSO_CV是否入选,LASSO_1SE系数,LASSO_1SE是否入选,LASSO_宽松系数,LASSO_宽松是否入选
HDL-C（高密度脂蛋白）,血常规,0.0,False,0.0,False,0.002100982360714907,True
LDL-C（低密度脂蛋白）,血常规,0.0,False,0.0010964296371100734,True,0.019937572053505884,True
TG（甘油三酯）,血常规,-0.0,False,-0.00682235435598686,True,-0.014932402435069192,True
TC（总胆固醇）,血常规,-0.0,False,-0.03769105132611389,True,-0.04764115765753055,True
空腹血糖,血常规,-0.0,False,-0.0,False,-0.00810007749587684,True
血尿酸,血常规,-0.0,False,0.0,False,0.0,False
BMI,血常规,-0.0,False,-0.0,False,-0.0,False
ADL用厕,活动量表,-0.0,False,-0.012437874219611693,True,-0.015515259739368866,True
ADL吃饭,活动量表,-0.022354149830051767,True,-0.06420676739775517,True,-0.06810765711027002,True
ADL步行,活动量表,-0.0,False,-0.0,False,-0.0017277971689269099,True
ADL穿衣,活动量表,0.0,False,0.0,False,0.0,False
ADL洗澡,活动量表,0.0,False,0.011467825038740536,True,0.016070273780336795,True
ADL总分,活动量表,-0.0,False,-0.0,False,-0.0,False
IADL购物,活动量表,0.0,False,0.008573647861618827,True,0.012953053150146549,True
IADL做饭,活动量表,-0.0,False,-0.0,False,-0.0,False
IADL理财,活动量表,0.0,False,0.010602556837866022,True,0.015244218558697004,True
IADL交通,活动量表,0.0,False,0.019645499367799902,True,0.02402517359753777,True
IADL服药,活动量表,-0.0,False,-0.0,False,-0.0005520141300120301,True
IADL总分,活动量表,0.0,False,0.0,False,0.0,False
活动量表总分（ADL总分+IADL总分）,活动量表,-0.0,False,0.0,False,-0.0,False
年龄组,控制变量,0.008797697766992529,True,0.01091467522337556,True,0.01105087012144204,True
性别,控制变量,-0.0,False,-0.01222451819331173,True,-0.013926327538678134,True
吸烟史,控制变量,-0.0,False,-0.004007166825481077,True,-0.005632381687177788,True
饮酒史,控制变量,0.0,False,0.011181152027847084,True,0.013141372175890698,True
