特征,类别,RF重要性,RF排名
TG,血常规,0.3375439724445838,1
TC,血常规,0.29106433405623605,2
血尿酸,血常规,0.156264110143451,3
LDL-C,血常规,0.06717517615724587,4
HDL-C,血常规,0.049350735647828034,5
空腹血糖,血常规,0.010512386085636292,6
BMI,血常规,0.009051923538610855,7
IADL总分,活动量表,0.007021842439536004,8
活动量表总分,活动量表,0.006655908873632197,9
ADL总分,活动量表,0.005925230539870649,10
ADL吃饭,活动量表,0.005776624958731446,11
IADL做饭,活动量表,0.005762894061505893,12
IADL交通,活动量表,0.00562763484675685,13
ADL穿衣,活动量表,0.005428869656231736,14
IADL服药,活动量表,0.005244021325111965,15
ADL用厕,活动量表,0.005183282775047214,16
ADL洗澡,活动量表,0.004571996700380548,17
年龄组,控制变量,0.004550393209727985,18
IADL购物,活动量表,0.004517662060886494,19
IADL理财,活动量表,0.004070343886603018,20
ADL步行,活动量表,0.0038044664480166887,21
性别,控制变量,0.002060519306454625,22
饮酒史,控制变量,0.0015607818542538318,23
吸烟史,控制变量,0.0012748889836609115,24
