体质,基础模型_Coef,基础模型_OR,基础模型_P,增强模型_Coef,增强模型_OR,增强模型_P
平和质,0.3027216507802711,1.3535376558521526,0.33997325002160117,0.330633071827979,1.3918489899944178,0.2074607507972277
气虚质,0.44973473059572,1.5678962154255036,0.12377482356974605,0.42044302984905163,1.522635979400784,0.07817086306236816
阳虚质,0.07628917579417101,1.079274629133745,0.7956174586387078,0.07204163198048985,1.074700085025452,0.7678002720284806
阴虚质,0.010767889308793114,1.0108260716751105,0.9708814029598679,-0.031141702783863946,0.9693382054213524,0.8968377082695136
痰湿质,-0.026146770603259553,0.9741920963537304,0.9193011920378975,0.011356097366499215,1.0114208226169092,0.9572428096102688
湿热质,-0.18918342041933547,0.8276346876703357,0.5234837640228449,-0.22895322324139786,0.795365737266044,0.3476948821091682
血瘀质,-0.1834805847559365,0.8323680362095881,0.5496877233827284,-0.23726206932353408,0.7887845446962091,0.3425847516700612
气郁质,0.047882386339152615,1.0490472657791345,0.8728521507917275,0.11018060259885593,1.1164796913855257,0.6582297705697722
特禀质,-0.056674407627863944,0.9449016720641026,0.8491672119283964,-0.06961847244841803,0.9327496217069461,0.7770173030125332
