风险等级,置信度,样本数,规则条件,分布_低风险,分布_中风险,分布_高风险
低风险,0.9310,145,TG ≤ 1.92 且 TC ≤ 6.16 且 TG ≤ 1.41 且 TC ≤ 5.38,135,9,1
中风险,0.6071,28,TG ≤ 1.92 且 TC ≤ 6.16 且 TG ≤ 1.41 且 TC > 5.38,11,17,0
中风险,0.6154,52,TG ≤ 1.92 且 TC ≤ 6.16 且 TG > 1.41 且 血尿酸 ≤ 383.50,11,32,9
高风险,0.6842,38,TG ≤ 1.92 且 TC ≤ 6.16 且 TG > 1.41 且 血尿酸 > 383.50,4,8,26
中风险,0.4828,29,TG ≤ 1.92 且 TC > 6.16 且 TG ≤ 0.87 且 TC ≤ 7.00,6,14,9
高风险,0.8519,54,TG ≤ 1.92 且 TC > 6.16 且 TG ≤ 0.87 且 TC > 7.00,0,8,46
高风险,0.7083,24,TG ≤ 1.92 且 TC > 6.16 且 TG > 0.87 且 TC ≤ 6.36,0,7,17
高风险,0.9796,196,TG ≤ 1.92 且 TC > 6.16 且 TG > 0.87 且 TC > 6.36,0,4,192
高风险,0.4500,20,TG > 1.92 且 TC ≤ 3.66 且 TG ≤ 2.36,3,8,9
高风险,1.0000,29,TG > 1.92 且 TC ≤ 3.66 且 TG > 2.36,0,0,29
高风险,0.9500,20,TG > 1.92 且 TC > 3.66 且 TG ≤ 2.01,0,1,19
高风险,1.0000,365,TG > 1.92 且 TC > 3.66 且 TG > 2.01,0,0,365
